id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Einzigartige Werkzeuge für den Online-Handel
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"Eine breite Palette von Finanzinstrumenten zur Auswahl, darunter Indizes und Aktien, Währungspaare, Metalle, Rohstoffe und Kryptowährungen."
3,indexHeaderText.slide2.title,Заголовок №2,24/7 Kundenbetreuung
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Zu jeder Tages- und Nachtzeit können Sie von der Kundenbetreuung eine persönliche Antwort auf Ihre Fragen erhalten.
5,indexHeaderText.slide3.title,Заголовок №3,Schnelle Online-Kontoeröffnung
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"Wir sorgen dafür, dass Sie nicht viel Zeit damit verbringen, ein neues persönliches Konto anzulegen oder Ihr Konto zu finanzieren."
7,indexHeaderText.slide4.title,Заголовок №4,Die Anzahl der verfügbaren Handelsinstrumente wächst ständig
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Jahr für Jahr nimmt die Auswahl an Assets für den Online-Handel zu. Es erhöht die Möglichkeiten, an den Finanzmärkten Geld zu verdienen, erheblich."
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Was sind die Vorteile?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Fernwartung
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Sie können sich überall befinden und online an den Finanzmärkten handeln.
12,indexAdvantagesText.advantage2.title,Преимущество №2,Abheben von Geldern ohne Gebühren
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Keine versteckten oder zusätzlichen Provisionen für die Auszahlung der Einlage an irgendwelche Zahlungssysteme.
14,indexAdvantagesText.advantage3.title,Преимущество №3,Handel in einem einfachen Terminal
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Die multifunktionale Handelsplattform verfügt über eine einfache und leicht verständliche Benutzeroberfläche.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Effizienter Geldverkehr
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Die Bearbeitung von Ein- und Auszahlungstransaktionen nimmt sehr wenig Zeit in Anspruch.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Niedrige Mindesteinlage
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Die minimale Einzahlungssumme wurde für die Bequemlichkeit eines jeden beginnenden Händlers gesenkt.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Alle Dienste an einem Ort
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Alle notwendigen Funktionen und Dienste für den Handel sind im persönlichen Schrank verfügbar.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Vorteilhafte Handelsbedingungen
23,indexBenefitsText.benefit1.title,Преимущество №1,"Handel mit Mindestlos ab 0,01"
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Es ist immer möglich, das gewünschte Volumen ab 0,01 Lot zu wählen."
25,indexBenefitsText.benefit2.title,Преимущество №2,Ultra-niedrige Spreads
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Ultra-niedrige Spreads sorgen für eine transparente Orderausführung.
27,indexBenefitsText.benefit3.title,Преимущество №3,Höchste Ausführungsgeschwindigkeit
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Keine Verzögerungen, Pausen, Requotes und Slippages bei der Auftragsausführung."
29,indexBenefitsText.benefit4.title,Преимущество №4,Über 200 Finanzinstrumente
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Eine große Auswahl an Assets für den Online-Handel.
1.4. Как начать.,,,
