id,constant,position,translate,
1. Главная страница,,,,
1.1. Посадочная страница.,,,,
1,indexHeaderText.slide1.title,Заголовок №1,Уникальные инструменты для онлайн-трейдинга,
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"На выбор предоставляется наибольший перечень финансовых инструментов, среди которых индексы и акции, валютные пары, металлы, сырье и криптовалюты.",
3,indexHeaderText.slide2.title,Заголовок №2,Клиентская поддержка 24/7,
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,В любое время суток можно получить персональный ответ от клиентской службы на интересующий вопрос. ,
5,indexHeaderText.slide3.title,Заголовок №3,Быстрое открытие счета онлайн,
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,"Мы позаботились о том, чтобы вы не тратили много времени на создание нового личного кабинета и пополнение счета.",
7,indexHeaderText.slide4.title,Заголовок №4,Постоянное увеличение доступных инструментов для трейдинга,
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,С каждым годом выбор активов для онлайн-торговли увеличивается. Это значительно расширяет возможности для заработка на финансовых рынках.,
1.2. Почему мы? (Преимущества),,,,
9,indexAdvantagesText.h2,Главный заголовок раздела,В чем преимущества?,
10,indexAdvantagesText.advantage1.title,Преимущество №1,Дистанционное обслуживание,
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Можно находиться в любом месте и торговать онлайн на финансовых рынках.,
12,indexAdvantagesText.advantage2.title,Преимущество №2,Вывод средств без издержек,
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Никаких скрытых или дополнительных комиссий за вывод депозита на любые платежные системы.,
14,indexAdvantagesText.advantage3.title,Преимущество №3,Трейдинг в простом терминале,
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Многофункциональная торговая платформа отличается простым и понятным интерфейсом.,
16,indexAdvantagesText.advantage4.title,Преимущество №4,Оперативные денежные транзакции,
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Обработка транзакций на пополнение и вывод средств занимает совсем немного времени.,
18,indexAdvantagesText.advantage5.title,Преимущество №5,Низкий минимальный депозит,
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Минимальная сумма пополнения счета снижена для удобства каждого начинающего трейдера.,
20,indexAdvantagesText.advantage6.title,Преимущество №6,Все сервисы в одном месте,
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,В личном кабинете пользователя доступны все необходимые функции и сервисы для трейдинга.,
1.3. Дополнительные преимущества.,,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Очень выгодные торговые условия,
23,indexBenefitsText.benefit1.title,Преимущество №1,Торговля с минимальным лотом от 0.01,
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Всегда можно выбрать желаемый объем сделки от 0.01 лота.,
25,indexBenefitsText.benefit2.title,Преимущество №2,Ультранизкие спреды,
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Сниженные спреды являются залогом прозрачного исполнения ордеров.,
27,indexBenefitsText.benefit3.title,Преимущество №3,Наибольшая скорость исполнения,
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Никаких задержек, пауз, реквот и проскальзываний при исполнении ордеров. ",
29,indexBenefitsText.benefit4.title,Преимущество №4,Более 200 финансовых инструментов,
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Каждый сможет оценить широкий выбор активов для онлайн-трейдинга.,
1.4. Как начать.,,,,
31,indexStepsText.h2,Главный заголовок раздела,Откройте трейдерский счет за 3 шага,
32,indexStepsText.step1.title,Шаг №1,Заполните заявку на сайте,
33,indexStepsText.step1.text|dot,Описание Шага №1,"На главном сайте есть раздел ""Регистрации"", где нужно указать контактные данные.",
34,indexStepsText.step2.title,Шаг №2,Внесите депозит ,
