id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,在线交易的独特工具
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,有广泛的金融工具可供选择，包括指数和股票、货币对、金属、商品和加密货币。
3,indexHeaderText.slide2.title,Заголовок №2,24/7的客户支持
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,在白天或晚上的任何时候，你都可以从客户支持部门获得对你的任何问题的个人回应。
5,indexHeaderText.slide3.title,Заголовок №3,快速在线开户
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,我们确保你不需要花太多时间创建一个新的个人账户或为你的账户提供资金。
7,indexHeaderText.slide4.title,Заголовок №4,可用的交易工具的数量在不断增加
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,网上交易的资产选择逐年增加。它大大增加了在金融市场上赚钱的机会。
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,有什么优势？
10,indexAdvantagesText.advantage1.title,Преимущество №1,遥远的服务
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,你可以身处任何地方，在金融市场上进行在线交易。
12,indexAdvantagesText.advantage2.title,Преимущество №2,提取资金不收费
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,向任何支付系统提取存款时，没有任何隐藏或额外的佣金。
14,indexAdvantagesText.advantage3.title,Преимущество №3,在一个简单的终端进行交易
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,多功能的交易平台具有简单易懂的界面。
16,indexAdvantagesText.advantage4.title,Преимущество №4,高效的货币交易
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,存款和提款交易的处理只需要很少的时间。
18,indexAdvantagesText.advantage5.title,Преимущество №5,最低存款额低
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,为了方便每个初入行的交易者，降低了最低存款金额。
20,indexAdvantagesText.advantage6.title,Преимущество №6,所有的服务都在一个地方
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,所有必要的交易功能和服务都可以在个人柜中获得。
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,有利的交易条件
23,indexBenefitsText.benefit1.title,Преимущество №1,最低手数从0.01开始的交易
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,总是可以从0.01手开始选择想要的量。
25,indexBenefitsText.benefit2.title,Преимущество №2,超低点差
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,超低的点差确保了透明的订单执行。
27,indexBenefitsText.benefit3.title,Преимущество №3,最高的执行速度
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,在订单执行过程中没有延迟、暂停、重新报价和滑点。
29,indexBenefitsText.benefit4.title,Преимущество №4,超过200种金融工具
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,用于在线交易的各种资产。
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,开设交易账户只需3个步骤
32,indexStepsText.step1.title,Шаг №1,在网站上填写一份申请
33,indexStepsText.step1.text|dot,Описание Шага №1,"在主网站上有一个 ""注册 ""部分，你必须在那里表明你的联系信息。"
34,indexStepsText.step2.title,Шаг №2,存款资金
35,indexStepsText.step2.text|dot,Описание Шага №2,注册后，你可以立即为交易账户存入所需金额。
36,indexStepsText.step3.title,Шаг №3,在个人内阁中授权
37,indexStepsText.step3.text|dot,Описание Шага №3,最后一步是在个人橱柜中进行授权，以获得所需的在线交易权限。
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,可选择的交易账户
39,indexAccountsText.account1.title,Аккаунт №1,Opti Trade
