id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Herramientas únicas para el comercio en línea
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"Una amplia gama de instrumentos financieros entre los que elegir, como índices y acciones, pares de divisas, metales, materias primas y criptodivisas."
3,indexHeaderText.slide2.title,Заголовок №2,"Atención al cliente 24 horas al día, 7 días a la semana"
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,En cualquier momento del día o de la noche puede obtener una respuesta personal del departamento de atención al cliente a cualquier pregunta que pueda tener.
5,indexHeaderText.slide3.title,Заголовок №3,Apertura rápida de cuentas en línea
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Nos aseguramos de que no pierda mucho tiempo creando una nueva cuenta personal o financiando su cuenta.
7,indexHeaderText.slide4.title,Заголовок №4,El número de instrumentos de negociación disponibles crece constantemente
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Año tras año aumenta la selección de activos para el comercio en línea. Aumenta considerablemente las oportunidades de ganar dinero en los mercados financieros.
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,¿Cuáles son las ventajas?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Servicio a distancia
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Puede estar en cualquier lugar y operar en línea en los mercados financieros.
12,indexAdvantagesText.advantage2.title,Преимущество №2,Retirada de fondos sin gastos
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,No hay comisiones ocultas ni adicionales por la retirada del depósito a ningún sistema de pago.
14,indexAdvantagesText.advantage3.title,Преимущество №3,Operar en un simple terminal
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,La plataforma de negociación multifuncional cuenta con una interfaz sencilla y fácil de entender.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Transacciones monetarias eficientes
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,La tramitación de las transacciones de depósito y retirada de fondos lleva muy poco tiempo.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Depósito mínimo bajo
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,La suma mínima de depósito se redujo para la comodidad de cada comerciante principiante.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Todos los servicios en un solo lugar
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Todas las funciones y servicios necesarios para el comercio están disponibles en el gabinete personal.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Condiciones comerciales ventajosas
23,indexBenefitsText.benefit1.title,Преимущество №1,"Negociación con un lote mínimo a partir de 0,01"
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Siempre es posible elegir el volumen deseado a partir de 0,01 lotes."
25,indexBenefitsText.benefit2.title,Преимущество №2,Diferenciales ultrabajos
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Los diferenciales ultrabajos garantizan una ejecución transparente de las órdenes.
27,indexBenefitsText.benefit3.title,Преимущество №3,Máxima velocidad de ejecución
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"No hay retrasos, pausas, recotizaciones ni deslizamientos durante la ejecución de la orden."
29,indexBenefitsText.benefit4.title,Преимущество №4,Más de 200 instrumentos financieros
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Una amplia gama de activos para el comercio en línea.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Abrir una cuenta de trading en 3 pasos
32,indexStepsText.step1.title,Шаг №1,Rellenar una solicitud en el sitio web
33,indexStepsText.step1.text|dot,Описание Шага №1,"Hay una sección de ""Registro"" en el sitio web principal, donde tiene que indicar sus datos de contacto."
