id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Des outils uniques pour le trading en ligne
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"Un large éventail d'instruments financiers à choisir, notamment des indices et des actions, des paires de devises, des métaux, des matières premières et des cryptocurrences."
3,indexHeaderText.slide2.title,Заголовок №2,Assistance clientèle 24/7
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,"À toute heure du jour ou de la nuit, vous pouvez obtenir une réponse personnelle du service d'assistance à la clientèle à toute question que vous pourriez avoir."
5,indexHeaderText.slide3.title,Заголовок №3,Ouverture rapide d'un compte en ligne
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Nous veillons à ce que vous ne perdiez pas beaucoup de temps à créer un nouveau compte personnel ou à alimenter votre compte.
7,indexHeaderText.slide4.title,Заголовок №4,Le nombre d'instruments de négociation disponibles est en constante augmentation
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"D'année en année, la sélection d'actifs pour le commerce en ligne augmente. Il augmente considérablement les possibilités de gagner de l'argent sur les marchés financiers."
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Quels sont les avantages ?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Service distant
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Vous pouvez être situé n'importe où et négocier en ligne sur les marchés financiers.
12,indexAdvantagesText.advantage2.title,Преимущество №2,Retrait de fonds sans frais
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Aucune commission cachée ou supplémentaire pour le retrait du dépôt vers un quelconque système de paiement.
14,indexAdvantagesText.advantage3.title,Преимущество №3,Le trading dans un terminal simple
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,La plateforme de trading multifonctionnelle présente une interface simple et facile à comprendre.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Des transactions monétaires efficaces
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Le traitement des opérations de dépôt et de retrait prend très peu de temps.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Dépôt minimum faible
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,La somme minimale de dépôt a été abaissée pour la commodité de chaque trader débutant.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Tous les services en un seul endroit
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Toutes les fonctions et tous les services nécessaires à la négociation sont disponibles dans l'armoire personnelle.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Des conditions commerciales avantageuses
23,indexBenefitsText.benefit1.title,Преимущество №1,"Négociation avec un lot minimum à partir de 0,01"
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Il est toujours possible de choisir le volume souhaité à partir de 0,01 lot."
25,indexBenefitsText.benefit2.title,Преимущество №2,Des spreads ultra-faibles
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Des spreads ultra-faibles garantissent une exécution transparente des ordres.
27,indexBenefitsText.benefit3.title,Преимущество №3,Vitesse d'exécution maximale
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Pas de retards, de pauses, de requotes et de dérapages pendant l'exécution des ordres."
29,indexBenefitsText.benefit4.title,Преимущество №4,Plus de 200 instruments financiers
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Un large éventail d'actifs pour le trading en ligne.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Ouvrir un compte de trading en 3 étapes
32,indexStepsText.step1.title,Шаг №1,Remplir une demande sur le site web
