id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Unique instruments for online trading
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"You can choose from the largest list of financial instruments, including indices and stocks, currency pairs, metals, commodities and cryptocurrencies."
3,indexHeaderText.slide2.title,Заголовок №2,24/7 customer support
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,"At any time of the day, you can get a personal answer from the customer service to your question."
5,indexHeaderText.slide3.title,Заголовок №3,Quick account Opening Online
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,We have made sure that you do not spend a lot of time creating a new personal account and adding funds to your account.
7,indexHeaderText.slide4.title,Заголовок №4,A constant increase in the available trading instruments
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Every year, the choice of assets for online trading increases. This significantly expands the opportunities for earning money on the financial markets."
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,What are the advantages?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Remote maintenance
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,You can be anywhere and trade online on the financial markets.
12,indexAdvantagesText.advantage2.title,Преимущество №2,Withdrawal of funds without costs
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,There are no hidden or additional fees for withdrawing a deposit to any payment systems.
14,indexAdvantagesText.advantage3.title,Преимущество №3,Trading in a simple terminal
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,The multifunctional trading platform has a simple and intuitive interface.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Operational cash transactions
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Processing transactions for deposits and withdrawals takes quite a bit of time.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Low minimum deposit
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,The minimum deposit amount has been reduced for the convenience of every novice trader.
20,indexAdvantagesText.advantage6.title,Преимущество №6,All services in one place
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,All the necessary functions and services for trading are available in the user's personal account.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Very favorable trading conditions
23,indexBenefitsText.benefit1.title,Преимущество №1,Trading with a minimum lot of 0.01
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,You can always choose the desired transaction volume from 0.01 lots.
25,indexBenefitsText.benefit2.title,Преимущество №2,Ultra-low spreads
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Reduced spreads are the key to transparent order execution.
27,indexBenefitsText.benefit3.title,Преимущество №3,The highest speed of execution
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"There are no delays, pauses, requotes and slippages when executing orders."
29,indexBenefitsText.benefit4.title,Преимущество №4,More than 200 financial instruments
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Everyone will be able to evaluate a wide range of assets for online trading.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Open a trading account in 3 steps
32,indexStepsText.step1.title,Шаг №1,Fill out the application form on the website
33,indexStepsText.step1.text|dot,Описание Шага №1,"On the main site there is a section ""Registration"", where you need to specify contact details."
34,indexStepsText.step2.title,Шаг №2,Make a deposit
35,indexStepsText.step2.text|dot,Описание Шага №2,"Immediately after registration, you can top up the deposit for the desired amount."
36,indexStepsText.step3.title,Шаг №3,Log in to your personal account
37,indexStepsText.step3.text|dot,Описание Шага №3,The last stage is authorization in your personal account with the desired access to online trading.
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Trading accounts to choose from
39,indexAccountsText.account1.title,Аккаунт №1,Opti Trade
